,tavg,tmin,tmax,zip,date,park
Yankee Stadium2010-08-11T00:00:00,24.8,20.4,29.2,10462,2010-08-11T00:00:00,Yankee Stadium
Yankee Stadium2010-08-12T00:00:00,24.8,20.4,29.2,10462,2010-08-12T00:00:00,Yankee Stadium
Yankee Stadium2010-08-13T00:00:00,24.8,20.4,29.1,10462,2010-08-13T00:00:00,Yankee Stadium
Yankee Stadium2010-08-14T00:00:00,24.7,20.4,29.1,10462,2010-08-14T00:00:00,Yankee Stadium
Yankee Stadium2010-08-15T00:00:00,24.7,20.3,29.1,10462,2010-08-15T00:00:00,Yankee Stadium
Yankee Stadium2010-08-16T00:00:00,24.7,20.3,29.0,10462,2010-08-16T00:00:00,Yankee Stadium
Yankee Stadium2010-08-17T00:00:00,24.6,20.3,28.9,10462,2010-08-17T00:00:00,Yankee Stadium
Yankee Stadium2010-08-18T00:00:00,24.6,20.2,28.9,10462,2010-08-18T00:00:00,Yankee Stadium
Yankee Stadium2010-08-19T00:00:00,24.5,20.2,28.8,10462,2010-08-19T00:00:00,Yankee Stadium
Yankee Stadium2010-08-20T00:00:00,24.4,20.1,28.7,10462,2010-08-20T00:00:00,Yankee Stadium
Yankee Stadium2010-08-21T00:00:00,24.4,20.1,28.7,10462,2010-08-21T00:00:00,Yankee Stadium
Yankee Stadium2010-08-22T00:00:00,24.3,20.0,28.6,10462,2010-08-22T00:00:00,Yankee Stadium
Yankee Stadium2010-08-23T00:00:00,24.2,19.9,28.5,10462,2010-08-23T00:00:00,Yankee Stadium
Yankee Stadium2010-08-24T00:00:00,24.2,19.8,28.4,10462,2010-08-24T00:00:00,Yankee Stadium
Yankee Stadium2010-08-25T00:00:00,24.1,19.8,28.3,10462,2010-08-25T00:00:00,Yankee Stadium
Yankee Stadium2010-08-26T00:00:00,23.9,19.7,28.2,10462,2010-08-26T00:00:00,Yankee Stadium
Yankee Stadium2010-08-27T00:00:00,23.8,19.6,28.1,10462,2010-08-27T00:00:00,Yankee Stadium
Yankee Stadium2010-08-28T00:00:00,23.8,19.5,28.0,10462,2010-08-28T00:00:00,Yankee Stadium
Yankee Stadium2010-08-29T00:00:00,23.6,19.4,27.9,10462,2010-08-29T00:00:00,Yankee Stadium
Yankee Stadium2010-08-30T00:00:00,23.5,19.3,27.8,10462,2010-08-30T00:00:00,Yankee Stadium
Yankee Stadium2010-08-31T00:00:00,23.4,19.1,27.7,10462,2010-08-31T00:00:00,Yankee Stadium
Yankee Stadium2010-09-01T00:00:00,23.3,19.0,27.5,10462,2010-09-01T00:00:00,Yankee Stadium
Yankee Stadium2010-09-02T00:00:00,23.1,18.9,27.3,10462,2010-09-02T00:00:00,Yankee Stadium
Yankee Stadium2010-09-03T00:00:00,22.9,18.7,27.2,10462,2010-09-03T00:00:00,Yankee Stadium
Yankee Stadium2010-09-04T00:00:00,22.8,18.6,27.1,10462,2010-09-04T00:00:00,Yankee Stadium
Yankee Stadium2010-09-05T00:00:00,22.7,18.4,26.9,10462,2010-09-05T00:00:00,Yankee Stadium
Yankee Stadium2010-09-06T00:00:00,22.4,18.2,26.7,10462,2010-09-06T00:00:00,Yankee Stadium
Yankee Stadium2010-09-07T00:00:00,22.3,18.1,26.5,10462,2010-09-07T00:00:00,Yankee Stadium
Yankee Stadium2010-09-08T00:00:00,22.1,17.9,26.3,10462,2010-09-08T00:00:00,Yankee Stadium
Yankee Stadium2010-09-09T00:00:00,21.9,17.7,26.2,10462,2010-09-09T00:00:00,Yankee Stadium
Yankee Stadium2010-09-10T00:00:00,21.7,17.5,25.9,10462,2010-09-10T00:00:00,Yankee Stadium
Yankee Stadium2010-09-11T00:00:00,21.5,17.3,25.7,10462,2010-09-11T00:00:00,Yankee Stadium
Yankee Stadium2010-09-12T00:00:00,21.3,17.1,25.6,10462,2010-09-12T00:00:00,Yankee Stadium
Yankee Stadium2010-09-13T00:00:00,21.1,16.9,25.3,10462,2010-09-13T00:00:00,Yankee Stadium
Yankee Stadium2010-09-14T00:00:00,20.9,16.7,25.1,10462,2010-09-14T00:00:00,Yankee Stadium
Yankee Stadium2010-09-15T00:00:00,20.7,16.4,24.9,10462,2010-09-15T00:00:00,Yankee Stadium
Yankee Stadium2010-09-16T00:00:00,20.4,16.2,24.7,10462,2010-09-16T00:00:00,Yankee Stadium
Yankee Stadium2010-09-17T00:00:00,20.2,15.9,24.4,10462,2010-09-17T00:00:00,Yankee Stadium
Yankee Stadium2010-09-18T00:00:00,19.9,15.7,24.2,10462,2010-09-18T00:00:00,Yankee Stadium
Yankee Stadium2010-09-19T00:00:00,19.7,15.5,24.0,10462,2010-09-19T00:00:00,Yankee Stadium
Yankee Stadium2010-09-20T00:00:00,19.5,15.2,23.7,10462,2010-09-20T00:00:00,Yankee Stadium
Yankee Stadium2010-09-21T00:00:00,19.3,15.0,23.5,10462,2010-09-21T00:00:00,Yankee Stadium
Yankee Stadium2010-09-22T00:00:00,19.0,14.8,23.3,10462,2010-09-22T00:00:00,Yankee Stadium
